2018-04-04 11:06:11 : chuanqi_rexue26 :71084: {"200":6240} 
2018-04-04 16:03:15 : chuanqi_rexue17 :71085: {"114012":1} 
2018-04-04 16:03:26 : chuanqi_rexue17 :71085: {"125012":1} 
2018-04-04 16:03:34 : chuanqi_rexue17 :71085: {"125013":1} 
2018-04-04 16:03:41 : chuanqi_rexue17 :71085: {"123013":1} 
2018-04-04 16:03:47 : chuanqi_rexue17 :71085: {"30033":1} 
2018-04-04 16:03:53 : chuanqi_rexue17 :71085: {"106000":1} 
2018-04-04 16:04:05 : chuanqi_rexue17 :71085: {"1547":500} 
2018-04-04 16:04:11 : chuanqi_rexue17 :71085: {"1515":50} 
2018-04-04 16:04:18 : chuanqi_rexue17 :71085: {"1549":200} 
2018-04-04 16:04:24 : chuanqi_rexue17 :71085: {"46":299} 
2018-04-04 16:04:32 : chuanqi_rexue17 :71085: {"45":1000} 
2018-04-04 16:04:39 : chuanqi_rexue17 :71085: {"413":50} 
2018-04-04 16:04:45 : chuanqi_rexue17 :71085: {"515":100} 
2018-04-04 16:04:53 : chuanqi_rexue17 :71085: {"1441":200} 
2018-04-04 16:05:13 : chuanqi_rexue17 :71085: {"1003":3888} 
2018-04-04 16:05:19 : chuanqi_rexue17 :71085: {"1004":3888} 
2018-04-04 16:05:26 : chuanqi_rexue17 :71085: {"10180":50} 
2018-04-04 16:05:32 : chuanqi_rexue17 :71085: {"39":500} 
